unb_code,unb_code_with_digit,client_code,geography,commercial,operation,super_commercial,operation_type,geo_code,commercial_code,cod_tipo_operacao,cod_supercom,nom_coordenador,flag_fd,keyfiltrodistrib,sigla_uf,flag_ativo,nome_dr,nome_dr_supercom,nome_gc,grupo_revendas_spo,cidade_matriz,coordenador_central_bebida,grupo_foco_regional,tipo_antigo,supercom_antiga,old_commercial,old_operation,nielsen_split,resale_group_ccttv,segmentation,secondary_segmentation,manual_subsegmentation,manual_secondary_subsegmentation,insert_date,folder_date
8823,88239,54133,GEO_1,COM_10,OP_7,SUPERCOM_4,Direct,19,24,10,8,Coordinator_11,1,KEY_70,FL,Inactive,Director_15,Director_SC_12,Manager_5,Group_9,Meadowbrook,Central_Coord_7,Focus_1,Type_1,OldSC_2,OldCom_5,OldOp_5,Nielsen_1,CCTTV_1,Seg_5,SecSeg_4,ManSeg_3,ManSecSeg_2,2023-11-22 20:50:39,2023-11-22
7480,74807,79327,GEO_5,COM_2,OP_9,SUPERCOM_5,Direct,18,53,8,14,Coordinator_21,1,KEY_20,PA,Inactive,Director_3,Director_SC_12,Manager_4,Group_4,Springfield,Central_Coord_1,Focus_5,Type_2,OldSC_4,OldCom_7,OldOp_8,Nielsen_4,CCTTV_4,Seg_6,SecSeg_4,ManSeg_3,ManSecSeg_2,2023-03-21 01:55:43,2023-03-21
3327,33275,99535,GEO_1,COM_8,OP_16,SUPERCOM_3,Direct,5,17,9,11,Coordinator_1,0,KEY_72,OH,Active,Director_12,Director_SC_1,Manager_18,Group_3,Georgetown,Central_Coord_5,Focus_8,Type_5,OldSC_2,OldCom_4,OldOp_5,Nielsen_3,CCTTV_8,Seg_2,SecSeg_2,ManSeg_2,ManSecSeg_1,2025-09-17 05:50:55,2025-09-17
3908,39081,63948,GEO_3,COM_9,OP_19,SUPERCOM_4,Direct,9,56,10,2,Coordinator_5,0,KEY_71,CA,Active,Director_9,Director_SC_6,Manager_6,Group_6,Meadowbrook,Central_Coord_2,Focus_7,Type_4,OldSC_5,OldCom_4,OldOp_2,Nielsen_2,CCTTV_1,Seg_6,SecSeg_4,ManSeg_2,ManSecSeg_2,2025-02-16 19:58:58,2025-02-16
8407,84077,46479,GEO_2,COM_7,OP_18,SUPERCOM_5,Direct,39,42,4,15,Coordinator_16,0,KEY_4,TX,Inactive,Director_12,Director_SC_6,Manager_2,Group_1,Springfield,Central_Coord_5,Focus_6,Type_2,OldSC_3,OldCom_8,OldOp_6,Nielsen_3,CCTTV_3,Seg_1,SecSeg_2,ManSeg_3,ManSecSeg_3,2023-09-29 05:33:56,2023-09-29
3798,37983,54625,GEO_3,COM_8,OP_13,SUPERCOM_1,Direct,13,26,1,9,Coordinator_20,1,KEY_41,FL,Active,Director_9,Director_SC_10,Manager_9,Group_6,Meadowbrook,Central_Coord_2,Focus_2,Type_1,OldSC_4,OldCom_3,OldOp_7,Nielsen_2,CCTTV_3,Seg_6,SecSeg_2,ManSeg_3,ManSecSeg_2,2024-06-01 07:03:31,2024-06-01
9529,95290,35571,GEO_3,COM_6,OP_9,SUPERCOM_4,Indirect,49,10,5,6,Coordinator_16,1,KEY_81,IL,Active,Director_10,Director_SC_13,Manager_16,Group_7,Springfield,Central_Coord_7,Focus_5,Type_1,OldSC_2,OldCom_10,OldOp_6,Nielsen_1,CCTTV_5,Seg_2,SecSeg_4,ManSeg_1,ManSecSeg_2,2023-04-15 18:03:01,2023-04-15
4896,48967,47117,GEO_2,COM_1,OP_6,SUPERCOM_4,Indirect,44,99,5,17,Coordinator_28,0,KEY_72,PA,Active,Director_4,Director_SC_11,Manager_12,Group_7,Lakeside,Central_Coord_3,Focus_1,Type_3,OldSC_3,OldCom_9,OldOp_8,Nielsen_4,CCTTV_8,Seg_3,SecSeg_1,ManSeg_2,ManSecSeg_1,2023-06-04 10:42:24,2023-06-04
7132,71322,16256,GEO_1,COM_8,OP_13,SUPERCOM_4,Direct,8,70,7,15,Coordinator_8,1,KEY_29,PA,Inactive,Director_14,Director_SC_6,Manager_15,Group_8,Lakeside,Central_Coord_10,Focus_5,Type_5,OldSC_3,OldCom_3,OldOp_10,Nielsen_3,CCTTV_6,Seg_4,SecSeg_1,ManSeg_2,ManSecSeg_3,2023-04-26 00:33:23,2023-04-26
7017,70170,97619,GEO_3,COM_8,OP_1,SUPERCOM_3,Direct,28,85,9,16,Coordinator_25,1,KEY_65,FL,Inactive,Director_12,Director_SC_4,Manager_16,Group_4,Georgetown,Central_Coord_1,Focus_3,Type_4,OldSC_3,OldCom_7,OldOp_4,Nielsen_1,CCTTV_6,Seg_2,SecSeg_2,ManSeg_2,ManSecSeg_1,2025-03-31 13:50:08,2025-03-31
8940,89404,87236,GEO_1,COM_2,OP_6,SUPERCOM_4,Direct,50,87,7,14,Coordinator_12,1,KEY_24,TX,Inactive,Director_9,Director_SC_2,Manager_12,Group_5,Georgetown,Central_Coord_5,Focus_3,Type_5,OldSC_1,OldCom_10,OldOp_1,Nielsen_4,CCTTV_1,Seg_3,SecSeg_3,ManSeg_1,ManSecSeg_1,2023-03-18 02:38:57,2023-03-18
7477,74773,79755,GEO_4,COM_8,OP_20,SUPERCOM_2,Direct,40,12,7,2,Coordinator_16,1,KEY_59,CA,Inactive,Director_1,Director_SC_2,Manager_10,Group_7,Springfield,Central_Coord_9,Focus_7,Type_3,OldSC_5,OldCom_1,OldOp_8,Nielsen_4,CCTTV_7,Seg_3,SecSeg_4,ManSeg_1,ManSecSeg_2,2023-09-10 04:29:54,2023-09-10
1330,13304,81455,GEO_2,COM_5,OP_7,SUPERCOM_5,Indirect,8,40,3,19,Coordinator_7,1,KEY_65,FL,Inactive,Director_8,Director_SC_12,Manager_20,Group_7,Springfield,Central_Coord_8,Focus_3,Type_4,OldSC_1,OldCom_7,OldOp_1,Nielsen_4,CCTTV_8,Seg_4,SecSeg_4,ManSeg_2,ManSecSeg_3,2024-02-25 04:05:46,2024-02-25
1520,15203,13940,GEO_5,COM_2,OP_3,SUPERCOM_1,Indirect,47,63,6,7,Coordinator_9,1,KEY_30,PA,Active,Director_6,Director_SC_11,Manager_24,Group_9,Hilltown,Central_Coord_9,Focus_3,Type_1,OldSC_1,OldCom_2,OldOp_10,Nielsen_5,CCTTV_2,Seg_5,SecSeg_3,ManSeg_3,ManSecSeg_1,2023-09-27 03:28:24,2023-09-27
8125,81259,40627,GEO_2,COM_3,OP_12,SUPERCOM_2,Direct,31,75,6,8,Coordinator_20,1,KEY_42,IL,Inactive,Director_6,Director_SC_6,Manager_17,Group_6,Hilltown,Central_Coord_5,Focus_1,Type_3,OldSC_1,OldCom_1,OldOp_10,Nielsen_3,CCTTV_5,Seg_6,SecSeg_3,ManSeg_3,ManSecSeg_1,2024-11-28 10:29:56,2024-11-28
3771,37711,75118,GEO_1,COM_2,OP_16,SUPERCOM_4,Indirect,31,21,5,19,Coordinator_25,0,KEY_49,IL,Inactive,Director_13,Director_SC_11,Manager_5,Group_7,Hilltown,Central_Coord_8,Focus_6,Type_2,OldSC_2,OldCom_3,OldOp_4,Nielsen_1,CCTTV_4,Seg_1,SecSeg_2,ManSeg_2,ManSecSeg_3,2024-10-02 10:40:37,2024-10-02
7008,70082,24046,GEO_3,COM_10,OP_5,SUPERCOM_4,Indirect,39,89,5,8,Coordinator_17,1,KEY_17,OH,Active,Director_2,Director_SC_15,Manager_13,Group_8,Springfield,Central_Coord_7,Focus_6,Type_4,OldSC_2,OldCom_3,OldOp_3,Nielsen_4,CCTTV_3,Seg_5,SecSeg_4,ManSeg_3,ManSecSeg_2,2025-09-04 19:28:02,2025-09-04
4893,48939,70783,GEO_5,COM_10,OP_1,SUPERCOM_3,Direct,6,13,6,18,Coordinator_4,1,KEY_16,CA,Inactive,Director_15,Director_SC_5,Manager_10,Group_6,Meadowbrook,Central_Coord_8,Focus_7,Type_1,OldSC_2,OldCom_10,OldOp_7,Nielsen_1,CCTTV_6,Seg_5,SecSeg_4,ManSeg_2,ManSecSeg_2,2023-10-27 12:38:58,2023-10-27
2819,28192,77909,GEO_4,COM_5,OP_14,SUPERCOM_4,Indirect,36,72,1,8,Coordinator_11,1,KEY_42,CA,Inactive,Director_4,Director_SC_12,Manager_23,Group_3,Lakeside,Central_Coord_4,Focus_3,Type_3,OldSC_5,OldCom_3,OldOp_7,Nielsen_4,CCTTV_7,Seg_2,SecSeg_1,ManSeg_3,ManSecSeg_3,2023-05-25 02:16:54,2023-05-25
1888,18884,11107,GEO_4,COM_1,OP_15,SUPERCOM_4,Direct,41,90,8,18,Coordinator_20,1,KEY_36,TX,Active,Director_12,Director_SC_4,Manager_18,Group_6,Lakeside,Central_Coord_2,Focus_8,Type_2,OldSC_2,OldCom_6,OldOp_9,Nielsen_1,CCTTV_1,Seg_5,SecSeg_4,ManSeg_3,ManSecSeg_3,2025-02-14 08:13:46,2025-02-14
1743,17437,79999,GEO_5,COM_2,OP_17,SUPERCOM_4,Direct,25,87,6,6,Coordinator_18,1,KEY_23,CA,Inactive,Director_14,Director_SC_9,Manager_4,Group_3,Riverside,Central_Coord_3,Focus_1,Type_5,OldSC_4,OldCom_8,OldOp_9,Nielsen_4,CCTTV_2,Seg_4,SecSeg_4,ManSeg_2,ManSecSeg_2,2023-12-02 21:34:40,2023-12-02
3427,34274,78839,GEO_5,COM_10,OP_15,SUPERCOM_1,Indirect,25,11,4,14,Coordinator_29,0,KEY_87,OH,Active,Director_15,Director_SC_6,Manager_6,Group_4,Lakeside,Central_Coord_3,Focus_4,Type_1,OldSC_5,OldCom_2,OldOp_15,Nielsen_1,CCTTV_6,Seg_5,SecSeg_3,ManSeg_1,ManSecSeg_3,2023-03-23 20:39:12,2023-03-23
1957,19572,60275,GEO_4,COM_6,OP_4,SUPERCOM_2,Direct,6,48,9,8,Coordinator_9,1,KEY_87,NY,Active,Director_7,Director_SC_2,Manager_19,Group_1,Lakeside,Central_Coord_3,Focus_8,Type_5,OldSC_4,OldCom_9,OldOp_12,Nielsen_1,CCTTV_8,Seg_3,SecSeg_2,ManSeg_2,ManSecSeg_3,2023-06-19 17:03:00,2023-06-19
6247,62478,85847,GEO_1,COM_9,OP_9,SUPERCOM_1,Direct,10,49,2,8,Coordinator_28,1,KEY_6,TX,Inactive,Director_9,Director_SC_11,Manager_14,Group_2,Springfield,Central_Coord_4,Focus_6,Type_2,OldSC_1,OldCom_4,OldOp_14,Nielsen_5,CCTTV_4,Seg_1,SecSeg_3,ManSeg_3,ManSecSeg_1,2024-07-31 19:20:52,2024-07-31
6658,66583,13752,GEO_1,COM_9,OP_4,SUPERCOM_2,Direct,11,71,7,7,Coordinator_26,1,KEY_26,IL,Inactive,Director_12,Director_SC_14,Manager_13,Group_4,Georgetown,Central_Coord_10,Focus_3,Type_3,OldSC_3,OldCom_5,OldOp_9,Nielsen_5,CCTTV_1,Seg_1,SecSeg_1,ManSeg_1,ManSecSeg_3,2024-02-05 20:10:42,2024-02-05
2815,28153,33628,GEO_5,COM_4,OP_8,SUPERCOM_2,Direct,11,84,7,2,Coordinator_26,1,KEY_1,PA,Inactive,Director_5,Director_SC_7,Manager_10,Group_3,Georgetown,Central_Coord_4,Focus_1,Type_5,OldSC_4,OldCom_4,OldOp_3,Nielsen_1,CCTTV_4,Seg_5,SecSeg_2,ManSeg_3,ManSecSeg_1,2025-09-01 02:54:53,2025-09-01
9118,91188,21919,GEO_1,COM_9,OP_18,SUPERCOM_3,Direct,3,63,9,15,Coordinator_2,1,KEY_1,PA,Inactive,Director_4,Director_SC_8,Manager_4,Group_3,Hilltown,Central_Coord_8,Focus_4,Type_1,OldSC_1,OldCom_9,OldOp_6,Nielsen_1,CCTTV_8,Seg_6,SecSeg_1,ManSeg_1,ManSecSeg_3,2025-11-11 08:05:55,2025-11-11
6986,69866,46058,GEO_4,COM_1,OP_1,SUPERCOM_5,Indirect,40,27,10,18,Coordinator_21,0,KEY_30,FL,Inactive,Director_9,Director_SC_14,Manager_1,Group_8,Meadowbrook,Central_Coord_4,Focus_4,Type_5,OldSC_1,OldCom_1,OldOp_4,Nielsen_5,CCTTV_1,Seg_4,SecSeg_3,ManSeg_1,ManSecSeg_2,2023-11-04 18:30:09,2023-11-04
8390,83904,84055,GEO_1,COM_7,OP_6,SUPERCOM_4,Direct,29,16,3,12,Coordinator_21,0,KEY_80,NY,Active,Director_11,Director_SC_7,Manager_14,Group_10,Meadowbrook,Central_Coord_5,Focus_2,Type_4,OldSC_4,OldCom_1,OldOp_1,Nielsen_4,CCTTV_3,Seg_2,SecSeg_1,ManSeg_3,ManSecSeg_1,2023-04-23 11:57:23,2023-04-23
7387,73871,70210,GEO_4,COM_4,OP_5,SUPERCOM_4,Direct,7,55,2,8,Coordinator_25,0,KEY_53,OH,Inactive,Director_7,Director_SC_8,Manager_9,Group_7,Georgetown,Central_Coord_8,Focus_7,Type_2,OldSC_1,OldCom_7,OldOp_4,Nielsen_5,CCTTV_5,Seg_4,SecSeg_2,ManSeg_2,ManSecSeg_1,2025-04-14 21:08:49,2025-04-14
3700,37007,42729,GEO_5,COM_4,OP_19,SUPERCOM_5,Direct,3,44,4,4,Coordinator_14,0,KEY_80,OH,Active,Director_13,Director_SC_7,Manager_1,Group_7,Georgetown,Central_Coord_3,Focus_8,Type_1,OldSC_3,OldCom_1,OldOp_10,Nielsen_4,CCTTV_2,Seg_4,SecSeg_1,ManSeg_3,ManSecSeg_3,2024-02-05 15:49:18,2024-02-05
5108,51082,38815,GEO_3,COM_5,OP_20,SUPERCOM_3,Direct,46,10,4,20,Coordinator_6,0,KEY_54,NY,Active,Director_6,Director_SC_10,Manager_18,Group_10,Meadowbrook,Central_Coord_2,Focus_2,Type_1,OldSC_1,OldCom_9,OldOp_15,Nielsen_4,CCTTV_1,Seg_6,SecSeg_1,ManSeg_1,ManSecSeg_1,2025-11-02 02:17:05,2025-11-02
8073,80736,80866,GEO_2,COM_8,OP_11,SUPERCOM_2,Direct,15,37,8,2,Coordinator_9,0,KEY_99,TX,Inactive,Director_13,Director_SC_13,Manager_16,Group_6,Riverside,Central_Coord_4,Focus_5,Type_2,OldSC_2,OldCom_3,OldOp_1,Nielsen_1,CCTTV_6,Seg_5,SecSeg_3,ManSeg_3,ManSecSeg_1,2025-07-23 04:30:43,2025-07-23
2081,20810,86111,GEO_3,COM_3,OP_19,SUPERCOM_3,Indirect,46,16,9,7,Coordinator_26,0,KEY_26,NY,Inactive,Director_3,Director_SC_1,Manager_14,Group_5,Riverside,Central_Coord_2,Focus_4,Type_1,OldSC_2,OldCom_10,OldOp_12,Nielsen_3,CCTTV_1,Seg_5,SecSeg_2,ManSeg_1,ManSecSeg_3,2023-12-26 07:54:21,2023-12-26
1662,16628,14011,GEO_5,COM_6,OP_3,SUPERCOM_3,Indirect,28,26,7,6,Coordinator_12,1,KEY_13,FL,Inactive,Director_15,Director_SC_8,Manager_23,Group_4,Springfield,Central_Coord_7,Focus_4,Type_2,OldSC_5,OldCom_9,OldOp_11,Nielsen_5,CCTTV_5,Seg_1,SecSeg_4,ManSeg_3,ManSecSeg_3,2025-08-10 07:37:41,2025-08-10
1667,16674,58251,GEO_2,COM_1,OP_1,SUPERCOM_2,Indirect,11,94,2,18,Coordinator_15,1,KEY_83,IL,Active,Director_9,Director_SC_12,Manager_16,Group_3,Springfield,Central_Coord_3,Focus_4,Type_4,OldSC_1,OldCom_5,OldOp_8,Nielsen_5,CCTTV_1,Seg_4,SecSeg_4,ManSeg_1,ManSecSeg_1,2024-06-04 11:01:30,2024-06-04
2026,20263,67175,GEO_1,COM_3,OP_1,SUPERCOM_1,Indirect,5,3,10,14,Coordinator_23,0,KEY_39,NY,Active,Director_8,Director_SC_5,Manager_15,Group_1,Springfield,Central_Coord_1,Focus_1,Type_1,OldSC_5,OldCom_3,OldOp_10,Nielsen_4,CCTTV_7,Seg_3,SecSeg_2,ManSeg_3,ManSecSeg_2,2024-09-17 00:44:01,2024-09-17
6940,69408,83236,GEO_5,COM_6,OP_20,SUPERCOM_2,Indirect,48,55,2,1,Coordinator_23,1,KEY_76,NY,Inactive,Director_1,Director_SC_11,Manager_6,Group_1,Lakeside,Central_Coord_4,Focus_5,Type_2,OldSC_1,OldCom_2,OldOp_10,Nielsen_5,CCTTV_1,Seg_2,SecSeg_2,ManSeg_1,ManSecSeg_3,2024-04-24 13:48:58,2024-04-24
4981,49813,45039,GEO_3,COM_8,OP_9,SUPERCOM_4,Indirect,49,2,9,14,Coordinator_29,0,KEY_4,IL,Active,Director_1,Director_SC_3,Manager_14,Group_4,Lakeside,Central_Coord_3,Focus_4,Type_1,OldSC_5,OldCom_8,OldOp_10,Nielsen_5,CCTTV_2,Seg_3,SecSeg_3,ManSeg_3,ManSecSeg_1,2023-12-03 07:10:29,2023-12-03
5087,50879,47528,GEO_5,COM_9,OP_4,SUPERCOM_3,Indirect,28,53,9,19,Coordinator_14,0,KEY_47,TX,Inactive,Director_8,Director_SC_12,Manager_6,Group_5,Springfield,Central_Coord_9,Focus_1,Type_3,OldSC_5,OldCom_6,OldOp_4,Nielsen_5,CCTTV_8,Seg_3,SecSeg_2,ManSeg_1,ManSecSeg_3,2023-06-10 12:08:25,2023-06-10
7474,74749,90781,GEO_3,COM_2,OP_9,SUPERCOM_1,Direct,38,76,3,9,Coordinator_27,0,KEY_24,NY,Inactive,Director_1,Director_SC_5,Manager_2,Group_8,Georgetown,Central_Coord_5,Focus_5,Type_2,OldSC_2,OldCom_3,OldOp_2,Nielsen_1,CCTTV_1,Seg_5,SecSeg_3,ManSeg_2,ManSecSeg_2,2023-09-17 05:48:39,2023-09-17
1361,13618,37976,GEO_3,COM_10,OP_4,SUPERCOM_3,Indirect,11,88,6,20,Coordinator_23,0,KEY_35,NY,Inactive,Director_9,Director_SC_1,Manager_23,Group_5,Hilltown,Central_Coord_6,Focus_3,Type_2,OldSC_3,OldCom_4,OldOp_4,Nielsen_4,CCTTV_6,Seg_2,SecSeg_4,ManSeg_3,ManSecSeg_3,2023-10-27 10:34:55,2023-10-27
4044,40440,79091,GEO_4,COM_6,OP_8,SUPERCOM_3,Direct,1,45,4,17,Coordinator_30,0,KEY_81,TX,Active,Director_7,Director_SC_4,Manager_14,Group_8,Hilltown,Central_Coord_5,Focus_4,Type_2,OldSC_5,OldCom_7,OldOp_13,Nielsen_5,CCTTV_2,Seg_4,SecSeg_3,ManSeg_3,ManSecSeg_1,2023-11-11 20:59:16,2023-11-11
6480,64806,91119,GEO_1,COM_3,OP_13,SUPERCOM_1,Indirect,13,43,5,3,Coordinator_19,0,KEY_17,TX,Active,Director_15,Director_SC_9,Manager_12,Group_10,Georgetown,Central_Coord_6,Focus_3,Type_4,OldSC_1,OldCom_2,OldOp_9,Nielsen_1,CCTTV_6,Seg_2,SecSeg_4,ManSeg_3,ManSecSeg_2,2024-11-07 06:11:40,2024-11-07
2054,20549,95849,GEO_3,COM_5,OP_10,SUPERCOM_2,Indirect,39,45,9,17,Coordinator_21,1,KEY_38,PA,Inactive,Director_12,Director_SC_9,Manager_22,Group_6,Lakeside,Central_Coord_4,Focus_6,Type_1,OldSC_3,OldCom_10,OldOp_13,Nielsen_2,CCTTV_2,Seg_4,SecSeg_4,ManSeg_3,ManSecSeg_3,2025-09-14 18:12:08,2025-09-14
4069,40690,61293,GEO_3,COM_3,OP_11,SUPERCOM_5,Indirect,34,6,6,12,Coordinator_7,0,KEY_82,CA,Active,Director_9,Director_SC_15,Manager_4,Group_2,Hilltown,Central_Coord_9,Focus_5,Type_2,OldSC_3,OldCom_7,OldOp_3,Nielsen_1,CCTTV_7,Seg_1,SecSeg_4,ManSeg_1,ManSecSeg_1,2024-06-03 23:13:56,2024-06-03
2771,27718,49857,GEO_3,COM_1,OP_12,SUPERCOM_3,Direct,39,62,3,9,Coordinator_12,1,KEY_48,FL,Inactive,Director_1,Director_SC_11,Manager_3,Group_3,Hilltown,Central_Coord_8,Focus_5,Type_4,OldSC_3,OldCom_8,OldOp_10,Nielsen_3,CCTTV_4,Seg_3,SecSeg_4,ManSeg_1,ManSecSeg_1,2023-08-21 07:10:49,2023-08-21
2113,21131,32763,GEO_1,COM_8,OP_2,SUPERCOM_2,Direct,5,44,4,6,Coordinator_24,0,KEY_49,NY,Inactive,Director_7,Director_SC_15,Manager_7,Group_9,Lakeside,Central_Coord_2,Focus_4,Type_1,OldSC_2,OldCom_8,OldOp_3,Nielsen_5,CCTTV_1,Seg_5,SecSeg_3,ManSeg_2,ManSecSeg_2,2024-09-10 13:08:10,2024-09-10
5112,51126,78177,GEO_4,COM_8,OP_14,SUPERCOM_1,Direct,21,78,2,18,Coordinator_28,1,KEY_94,TX,Active,Director_7,Director_SC_5,Manager_1,Group_7,Georgetown,Central_Coord_5,Focus_3,Type_3,OldSC_5,OldCom_1,OldOp_8,Nielsen_1,CCTTV_2,Seg_2,SecSeg_1,ManSeg_1,ManSecSeg_2,2024-03-16 13:57:11,2024-03-16
1211,12110,96381,GEO_1,COM_3,OP_19,SUPERCOM_3,Direct,45,13,4,11,Coordinator_9,1,KEY_94,CA,Active,Director_9,Director_SC_7,Manager_11,Group_7,Lakeside,Central_Coord_7,Focus_5,Type_2,OldSC_2,OldCom_5,OldOp_14,Nielsen_1,CCTTV_2,Seg_6,SecSeg_1,ManSeg_1,ManSecSeg_2,2023-05-23 23:02:11,2023-05-23
6012,60125,30342,GEO_3,COM_1,OP_16,SUPERCOM_5,Direct,10,13,7,4,Coordinator_4,0,KEY_40,NY,Inactive,Director_9,Director_SC_10,Manager_15,Group_9,Springfield,Central_Coord_4,Focus_5,Type_4,OldSC_5,OldCom_2,OldOp_14,Nielsen_5,CCTTV_8,Seg_4,SecSeg_1,ManSeg_2,ManSecSeg_2,2023-08-21 23:03:38,2023-08-21
8566,85664,17089,GEO_2,COM_9,OP_9,SUPERCOM_4,Indirect,48,17,5,16,Coordinator_11,0,KEY_66,NY,Inactive,Director_6,Director_SC_6,Manager_7,Group_5,Meadowbrook,Central_Coord_6,Focus_5,Type_3,OldSC_2,OldCom_10,OldOp_10,Nielsen_2,CCTTV_6,Seg_2,SecSeg_1,ManSeg_2,ManSecSeg_2,2023-08-28 08:57:57,2023-08-28
3682,36821,93353,GEO_5,COM_1,OP_19,SUPERCOM_4,Indirect,17,2,7,15,Coordinator_26,0,KEY_82,PA,Active,Director_10,Director_SC_14,Manager_23,Group_10,Springfield,Central_Coord_4,Focus_5,Type_2,OldSC_3,OldCom_6,OldOp_10,Nielsen_3,CCTTV_6,Seg_2,SecSeg_4,ManSeg_3,ManSecSeg_3,2025-05-27 12:10:10,2025-05-27
4592,45923,61381,GEO_2,COM_9,OP_13,SUPERCOM_3,Direct,15,50,4,5,Coordinator_14,0,KEY_49,NY,Active,Director_11,Director_SC_10,Manager_11,Group_1,Hilltown,Central_Coord_9,Focus_8,Type_4,OldSC_2,OldCom_10,OldOp_10,Nielsen_4,CCTTV_2,Seg_2,SecSeg_3,ManSeg_3,ManSecSeg_2,2025-06-25 20:30:56,2025-06-25
