period_month_id,period_id,client_code,unb_code,product_abbreviation_code,operation_type,volume,billing,insert_date,folder_date
202306,20230601,28511,9390,797,DISTRIBUTOR,2696.32,51370,2024-11-19 11:20:28,202306
202307,20230722,23476,9864,828,DISTRIBUTOR,575.92,320239,2023-01-13 19:01:43,202307
202407,20240702,69053,9056,358,DIRECT,1138.19,389009,2023-02-13 04:38:47,202407
202310,20231018,42238,6112,441,DISTRIBUTOR,1174.16,47922,2025-06-20 08:39:00,202310
202408,20240802,37620,7336,385,INDIRECT,4320.46,192253,2024-04-18 08:44:52,202408
202309,20230928,50360,4235,584,INDIRECT,458.92,386635,2023-03-10 17:25:06,202309
202307,20230709,91448,4069,457,DIRECT,254.55,305858,2023-10-18 14:58:17,202307
202402,20240220,77485,5153,983,DISTRIBUTOR,195.53,398275,2024-07-18 04:22:54,202402
202407,20240721,96523,1392,802,DIRECT,4181.89,453731,2025-01-10 01:30:21,202407
202304,20230414,68782,9819,392,DIRECT,4163.63,472869,2023-05-16 23:37:28,202304
202305,20230527,37979,4461,156,INDIRECT,2983.82,180614,2023-07-22 13:10:49,202305
202310,20231001,59271,6795,294,DIRECT,4692.52,64100,2025-07-05 00:27:43,202310
202412,20241204,40754,1718,146,INDIRECT,131.32,280237,2024-11-13 08:15:04,202412
202312,20231210,19889,5640,531,DIRECT,4022.32,320162,2023-08-27 02:46:44,202312
202307,20230710,36464,8629,666,DISTRIBUTOR,4691.70,486478,2025-06-29 06:55:47,202307
202312,20231219,57687,4061,379,DISTRIBUTOR,497.11,375717,2023-01-09 16:30:49,202312
202302,20230215,92768,6860,670,DISTRIBUTOR,4065.67,69944,2024-11-21 12:56:07,202302
202309,20230922,12723,1819,742,DISTRIBUTOR,159.52,191764,2025-10-11 17:59:31,202309
202409,20240924,95666,9255,713,INDIRECT,3785.57,13438,2025-01-28 02:40:26,202409
202304,20230404,23419,1992,303,DIRECT,856.50,408467,2025-08-02 21:35:03,202304
202407,20240710,25146,3941,502,DIRECT,1898.89,490327,2023-04-25 11:25:16,202407
202412,20241217,23485,8602,236,DIRECT,1617.34,264605,2023-08-17 17:31:35,202412
202306,20230618,25948,4694,751,DIRECT,328.41,352067,2023-12-11 09:25:11,202306
202407,20240727,41988,2738,681,DIRECT,2911.04,462974,2023-01-26 11:48:32,202407
202310,20231017,66865,6681,518,DIRECT,1474.56,14637,2025-08-19 01:08:35,202310
202403,20240316,16606,2181,315,INDIRECT,652.44,49378,2024-12-28 09:22:17,202403
202301,20230107,86172,8180,229,DISTRIBUTOR,4693.92,412592,2023-10-10 03:09:23,202301
202403,20240326,68889,9735,542,DISTRIBUTOR,1860.37,168395,2024-04-24 12:06:58,202403
202409,20240919,62604,9435,950,DIRECT,2361.50,215865,2024-11-27 08:48:33,202409
202308,20230810,72927,7502,872,DISTRIBUTOR,2164.81,21572,2023-02-20 20:24:55,202308
202308,20230823,28737,5655,903,DIRECT,273.64,417482,2023-06-06 00:22:33,202308
202311,20231110,91428,8582,176,DISTRIBUTOR,3217.05,363538,2023-11-25 17:33:46,202311
202301,20230107,47679,6070,189,DIRECT,304.21,212859,2023-11-16 21:52:13,202301
202412,20241207,58675,1681,761,DIRECT,4498.10,61773,2024-08-07 16:26:41,202412
202409,20240905,59031,8261,847,DISTRIBUTOR,550.11,249256,2023-08-02 23:31:41,202409
202304,20230420,82187,8596,598,INDIRECT,1748.37,153100,2025-06-16 17:56:30,202304
202309,20230927,29232,9847,368,DIRECT,4923.24,190433,2024-09-13 02:04:43,202309
202407,20240707,58771,7978,572,INDIRECT,3528.37,85586,2024-09-21 16:38:32,202407
202305,20230507,40011,2394,844,DISTRIBUTOR,3957.96,257598,2025-03-08 01:56:18,202305
202408,20240801,90275,6044,410,INDIRECT,3182.46,118168,2025-06-09 20:57:24,202408
202408,20240804,83502,1316,843,DISTRIBUTOR,3091.84,209918,2024-10-26 01:00:41,202408
202409,20240922,17843,3002,299,DIRECT,168.22,322984,2024-06-21 17:54:55,202409
202308,20230813,13984,8810,269,DIRECT,1745.94,324377,2024-10-28 10:16:14,202308
202401,20240106,55326,5042,434,DISTRIBUTOR,1395.40,312970,2023-03-17 12:59:00,202401
202312,20231214,52852,6275,130,DISTRIBUTOR,4585.96,198272,2023-04-04 10:54:50,202312
202305,20230517,69791,2837,713,DIRECT,3228.36,401074,2023-03-13 13:39:15,202305
202309,20230907,50551,8913,275,INDIRECT,656.39,95427,2024-05-30 09:59:07,202309
202412,20241220,53921,8822,497,DISTRIBUTOR,1867.25,348940,2025-01-27 04:10:28,202412
202409,20240926,77860,6861,832,DISTRIBUTOR,3282.02,146155,2023-03-15 05:58:57,202409
202307,20230702,64809,4385,416,DISTRIBUTOR,1684.17,339017,2025-05-12 09:41:56,202307
202302,20230203,16401,7417,407,DISTRIBUTOR,2927.19,61573,2024-08-17 22:51:24,202302
202405,20240506,86757,2575,821,DISTRIBUTOR,4205.47,327841,2025-04-02 01:09:18,202405
202302,20230212,32092,5517,611,DIRECT,2993.50,425086,2023-04-19 01:01:11,202302
202312,20231217,91779,5375,946,DIRECT,2010.92,316028,2025-02-07 12:38:23,202312
202308,20230814,85741,1949,336,INDIRECT,4943.58,197182,2024-09-09 07:53:55,202308
202411,20241109,45608,5948,676,INDIRECT,1842.04,459699,2025-11-07 01:30:32,202411
202402,20240213,84760,4024,922,INDIRECT,2673.70,69182,2023-09-24 14:10:46,202402
202309,20230915,12518,9933,431,DIRECT,2866.52,493679,2023-07-20 18:09:40,202309
202401,20240116,69491,6150,118,DIRECT,792.80,260445,2024-07-04 06:10:32,202401
202406,20240603,56397,3200,418,INDIRECT,3588.85,206626,2024-06-18 20:28:48,202406
202303,20230323,92423,5531,656,DIRECT,301.77,128825,2023-05-22 14:14:28,202303
202406,20240615,84636,7617,784,DIRECT,2289.78,58450,2024-03-13 12:53:22,202406
202411,20241115,55288,2747,459,DIRECT,3970.73,233290,2025-09-22 14:15:13,202411
202305,20230518,95254,7036,686,DISTRIBUTOR,3126.50,269152,2025-02-23 09:41:01,202305
202306,20230608,75852,9178,925,DIRECT,2268.34,447797,2023-09-04 06:43:05,202306
202404,20240420,42326,1294,732,DIRECT,2049.79,29104,2025-05-04 22:50:09,202404
202406,20240622,97923,2575,944,INDIRECT,3990.54,296339,2025-09-01 06:03:11,202406
202408,20240823,25868,7038,475,INDIRECT,1437.67,116187,2023-07-17 04:14:17,202408
202302,20230202,40027,7301,101,INDIRECT,525.45,392755,2023-07-14 09:09:39,202302
202412,20241219,50531,2770,632,DIRECT,3591.43,413519,2023-11-05 12:57:48,202412
202310,20231003,80736,1471,190,INDIRECT,3272.12,184636,2024-03-08 01:09:20,202310
202404,20240425,73943,6555,635,INDIRECT,1582.79,484689,2024-11-08 20:21:07,202404
202306,20230603,17116,6671,106,INDIRECT,763.23,451192,2024-04-23 18:18:46,202306
202303,20230304,31209,6614,506,INDIRECT,1418.86,451919,2023-09-12 17:31:07,202303
202412,20241201,75531,8970,167,DIRECT,3649.06,227232,2024-11-18 19:58:21,202412
202307,20230715,94860,3444,742,DIRECT,4445.68,408274,2025-07-15 17:40:58,202307
202406,20240609,26776,2135,955,DIRECT,4251.49,294337,2024-08-31 00:38:11,202406
202312,20231223,64823,6014,720,INDIRECT,2979.65,261015,2023-02-06 06:21:09,202312
202306,20230609,13295,4908,388,INDIRECT,2869.27,331405,2023-05-05 06:17:23,202306
202405,20240514,74048,3696,248,INDIRECT,2745.36,21616,2025-09-24 10:10:12,202405
202404,20240414,21623,8307,537,DIRECT,4348.47,490646,2025-02-28 02:28:16,202404
202312,20231214,82584,3396,384,DIRECT,3133.23,418869,2024-12-19 06:48:52,202312
202305,20230527,73166,8663,610,INDIRECT,195.44,196144,2023-07-24 11:33:00,202305
202302,20230221,87531,9312,985,INDIRECT,1458.49,478346,2023-02-19 16:22:06,202302
202407,20240727,94405,2659,220,INDIRECT,3537.17,71742,2024-05-30 00:26:37,202407
202403,20240317,53030,6659,475,INDIRECT,3909.42,12771,2023-09-22 01:06:49,202403
202402,20240205,15540,7525,382,DISTRIBUTOR,1235.22,423049,2024-03-07 02:02:57,202402
202312,20231207,48234,7031,753,INDIRECT,2657.60,270991,2025-03-01 08:22:57,202312
202308,20230824,58858,3005,986,DISTRIBUTOR,3378.43,280165,2024-01-07 08:00:26,202308
202406,20240614,84175,4224,418,INDIRECT,2185.75,85332,2024-05-04 18:42:52,202406
202412,20241214,96082,5756,218,DIRECT,4959.23,333643,2024-02-29 01:15:54,202412
202311,20231124,97047,8749,735,DISTRIBUTOR,2725.00,412180,2024-05-06 16:25:51,202311
202305,20230526,14149,1117,725,DIRECT,4896.11,24040,2023-02-15 16:48:11,202305
202303,20230320,73766,8174,711,DISTRIBUTOR,4914.74,99412,2024-12-17 11:08:05,202303
202405,20240507,28359,8854,158,DISTRIBUTOR,1430.74,385390,2024-02-14 13:44:00,202405
202402,20240223,44709,4463,536,INDIRECT,2989.50,291913,2023-07-02 06:51:35,202402
202303,20230305,21548,8454,219,INDIRECT,1534.36,32819,2023-09-25 22:31:23,202303
202306,20230625,35782,8725,797,DIRECT,594.41,157225,2024-08-04 10:39:13,202306
202310,20231006,50570,7758,537,DISTRIBUTOR,244.64,229168,2024-10-08 02:51:03,202310
202305,20230521,44983,8239,767,DIRECT,1788.72,379348,2025-03-17 04:39:17,202305
202311,20231122,36673,7385,653,INDIRECT,4319.03,476941,2025-03-24 14:22:56,202311
202412,20241213,52212,1212,194,DIRECT,1028.07,108816,2023-07-18 06:46:47,202412
202302,20230211,57905,6232,948,DIRECT,3271.43,308718,2024-06-29 09:33:08,202302
202301,20230102,69549,1792,347,DIRECT,1903.59,64502,2025-03-21 23:45:45,202301
202406,20240612,86751,7497,949,DISTRIBUTOR,3138.64,165263,2025-02-24 22:44:55,202406
202306,20230619,26466,4453,417,DIRECT,402.92,7906,2024-02-21 04:33:24,202306
202302,20230209,61835,5975,218,INDIRECT,855.25,361145,2025-07-22 06:17:39,202302
202402,20240205,36463,9336,874,INDIRECT,977.23,496705,2024-08-17 19:17:31,202402
202307,20230722,43242,3564,124,DIRECT,3936.42,111300,2025-04-20 19:48:14,202307
202309,20230909,19985,1239,576,INDIRECT,4571.92,301725,2023-03-10 10:05:53,202309
202403,20240328,44209,8547,396,DIRECT,1244.58,332565,2024-10-11 00:43:55,202403
202305,20230507,47093,7776,333,INDIRECT,3885.14,443303,2024-11-18 00:18:41,202305
202309,20230915,36879,3479,268,DIRECT,1426.12,212178,2023-07-14 12:18:29,202309
202309,20230913,71128,9010,664,DIRECT,3097.20,452549,2024-01-08 03:26:31,202309
202411,20241112,23505,1555,279,DISTRIBUTOR,807.39,6308,2025-01-13 22:53:33,202411
202307,20230726,18076,5312,217,INDIRECT,4041.39,108222,2025-06-10 04:33:18,202307
202308,20230804,72262,6060,420,DISTRIBUTOR,538.69,269696,2025-08-27 20:50:26,202308
202304,20230416,94244,9186,149,INDIRECT,4256.12,433789,2025-05-12 12:41:09,202304
202410,20241023,11179,7674,580,DIRECT,2458.40,14387,2024-11-23 05:58:02,202410
202309,20230907,99059,5794,802,DISTRIBUTOR,1518.44,381403,2024-08-14 09:10:33,202309
202307,20230716,90622,7059,994,INDIRECT,2602.60,216371,2023-01-06 01:03:20,202307
202308,20230813,22278,6638,241,INDIRECT,1900.69,439194,2023-03-01 13:34:16,202308
202405,20240503,45007,3236,439,DIRECT,3309.56,346628,2023-10-28 20:54:07,202405
202410,20241021,22403,1397,757,INDIRECT,4582.01,475761,2024-03-13 07:55:09,202410
202312,20231213,31550,4935,460,INDIRECT,972.52,200222,2024-12-13 11:23:02,202312
202406,20240605,38039,3041,270,DIRECT,120.65,25342,2025-03-04 11:16:15,202406
202311,20231103,60317,4417,924,DIRECT,3214.25,189978,2025-08-24 00:56:59,202311
202308,20230828,15325,6852,758,INDIRECT,4302.74,368059,2025-05-17 07:03:54,202308
202305,20230519,86795,3933,377,DIRECT,2785.47,125638,2025-03-24 17:07:08,202305
202411,20241115,38205,8628,732,DISTRIBUTOR,4531.19,195994,2023-01-12 11:23:17,202411
202309,20230924,13099,9260,577,INDIRECT,604.80,199521,2024-12-20 09:32:55,202309
202310,20231001,86646,5250,537,DIRECT,4275.36,147300,2023-05-17 00:40:32,202310
202306,20230606,59160,9157,682,DISTRIBUTOR,4516.02,405655,2024-05-11 09:21:55,202306
202310,20231022,82335,1824,893,DIRECT,3231.85,265245,2025-06-13 18:18:45,202310
202407,20240721,30324,6327,870,INDIRECT,697.49,422114,2024-09-14 14:04:50,202407
202304,20230422,42912,3642,139,DIRECT,3556.29,82376,2024-11-18 03:54:09,202304
202311,20231112,26298,4573,155,DISTRIBUTOR,1619.09,59902,2023-01-07 18:43:48,202311
202310,20231021,50260,1770,144,DIRECT,2362.38,14912,2023-02-05 06:20:34,202310
202306,20230618,96438,8421,922,INDIRECT,1911.30,452447,2025-05-04 11:19:42,202306
202310,20231021,23611,6823,948,DISTRIBUTOR,2418.97,263644,2023-03-07 19:15:10,202310
202303,20230327,85230,2198,974,DIRECT,4378.23,213469,2024-11-13 09:36:56,202303
202301,20230125,81002,4974,555,DISTRIBUTOR,4828.94,499979,2025-06-12 10:57:16,202301
202312,20231203,71031,7634,835,INDIRECT,4096.45,36371,2024-07-03 19:11:22,202312
202404,20240407,12555,8293,569,DISTRIBUTOR,3159.21,236247,2025-02-27 20:34:27,202404
202410,20241021,14315,4098,842,DISTRIBUTOR,292.86,448486,2025-02-02 03:17:36,202410
202407,20240728,80843,2519,809,INDIRECT,1879.67,402177,2024-08-28 23:47:51,202407
202403,20240308,36079,7094,164,DISTRIBUTOR,1837.51,288819,2025-10-04 15:55:59,202403
202409,20240915,91609,2236,547,DIRECT,4618.74,82262,2023-08-10 07:52:11,202409
202302,20230225,56077,4678,952,DISTRIBUTOR,636.85,378047,2024-05-04 10:01:12,202302
202405,20240501,53272,1082,584,INDIRECT,3292.45,312803,2023-02-11 14:25:06,202405
202404,20240418,96727,8422,615,DISTRIBUTOR,2270.97,488036,2025-08-29 10:05:10,202404
202307,20230722,49971,1409,865,DIRECT,3114.15,473553,2023-01-25 13:21:14,202307
202411,20241106,66056,5496,792,INDIRECT,3035.53,302561,2023-04-13 04:31:38,202411
202301,20230123,13330,5546,573,DISTRIBUTOR,523.28,280643,2023-06-17 06:03:12,202301
202404,20240419,28445,9347,218,INDIRECT,1426.30,13827,2023-09-26 11:55:34,202404
202409,20240924,41967,2461,763,DIRECT,1343.55,319381,2023-03-13 21:02:49,202409
202311,20231127,22753,6406,555,INDIRECT,3683.45,233951,2023-01-22 07:16:53,202311
202405,20240515,11138,3432,130,DISTRIBUTOR,2451.40,264706,2025-06-03 05:19:56,202405
202304,20230407,60638,8674,574,DIRECT,1302.76,367461,2025-09-15 16:14:00,202304
202409,20240927,94374,9732,282,DIRECT,922.15,413993,2025-07-01 09:30:38,202409
202304,20230422,23510,5200,460,DIRECT,1667.19,42857,2025-09-08 09:18:14,202304
202409,20240902,96187,4225,585,DIRECT,1997.97,281916,2023-11-25 08:49:12,202409
202306,20230619,85067,2434,156,DISTRIBUTOR,3414.35,481457,2025-03-05 07:04:33,202306
202309,20230926,10609,5360,657,DISTRIBUTOR,1804.49,289299,2024-07-14 23:39:56,202309
202409,20240914,87673,9424,701,DISTRIBUTOR,3636.20,303498,2025-11-05 11:07:19,202409
202411,20241123,96436,5010,209,INDIRECT,193.08,63743,2023-12-18 02:29:38,202411
202301,20230128,92172,8350,882,INDIRECT,1589.96,287769,2025-09-10 20:20:38,202301
202402,20240214,23329,7668,725,INDIRECT,1716.62,395706,2024-04-06 08:41:41,202402
202306,20230607,75696,8971,655,DIRECT,462.42,81410,2024-03-26 09:20:09,202306
202401,20240107,80172,4459,564,DIRECT,2506.24,292681,2024-10-10 04:33:06,202401
202304,20230405,72543,7354,698,DIRECT,1226.76,257562,2024-02-13 19:47:18,202304
202407,20240706,50874,1161,413,DISTRIBUTOR,2368.40,396790,2025-03-30 23:36:52,202407
202409,20240915,99169,5114,351,INDIRECT,1479.30,474094,2024-05-02 12:46:01,202409
202404,20240411,16166,3132,377,INDIRECT,881.38,470390,2024-03-31 21:11:56,202404
202309,20230914,46534,2283,347,DISTRIBUTOR,4259.74,196269,2025-02-19 03:28:12,202309
202409,20240926,46906,5646,851,DIRECT,647.63,15599,2024-05-21 19:37:23,202409
202402,20240228,94000,2244,683,INDIRECT,3788.56,329919,2025-06-14 05:54:30,202402
202403,20240315,51973,4088,909,INDIRECT,4417.24,354725,2025-04-20 16:05:13,202403
202407,20240715,46174,7129,531,INDIRECT,1771.30,116710,2025-02-01 17:22:10,202407
202409,20240909,22769,6590,319,DISTRIBUTOR,4724.30,409321,2025-06-20 00:36:55,202409
202312,20231201,68840,4631,667,INDIRECT,2539.74,214719,2025-04-10 17:17:08,202312
202403,20240318,24132,6468,252,DISTRIBUTOR,2232.38,62164,2025-04-11 05:23:45,202403
202305,20230525,96172,3569,842,DIRECT,2944.83,166742,2024-07-25 15:59:20,202305
202309,20230924,64091,9178,468,DISTRIBUTOR,279.45,104906,2025-01-11 16:07:00,202309
202310,20231009,34038,4113,499,DISTRIBUTOR,2620.96,384079,2025-04-12 08:11:34,202310
202306,20230611,53316,5959,484,DISTRIBUTOR,3317.85,77877,2024-02-27 16:44:05,202306
202409,20240904,94820,1680,904,INDIRECT,2392.18,252380,2023-07-01 09:30:31,202409
202403,20240312,41968,1076,754,DISTRIBUTOR,3504.04,84344,2024-11-12 14:47:47,202403
202303,20230320,73934,7258,498,DISTRIBUTOR,4354.61,401097,2023-02-02 12:00:50,202303
202304,20230409,81939,3951,659,DIRECT,856.10,25923,2025-05-12 00:50:57,202304
202307,20230710,10533,6155,812,INDIRECT,4558.07,98184,2024-06-29 13:05:31,202307
202405,20240517,89028,9534,572,DISTRIBUTOR,1194.51,134943,2024-08-06 18:32:43,202405
202402,20240227,85815,7981,776,INDIRECT,740.57,444730,2024-09-12 08:11:28,202402
202301,20230127,62031,6948,601,DISTRIBUTOR,4737.27,185708,2025-06-10 19:57:30,202301
202303,20230312,92641,3091,525,DISTRIBUTOR,4972.25,203782,2025-08-20 14:27:16,202303
202311,20231117,68669,6495,897,DIRECT,4132.00,51560,2023-09-29 23:07:17,202311
202410,20241017,40771,9761,777,DISTRIBUTOR,730.68,91020,2024-10-19 08:43:26,202410
202302,20230201,44597,9989,546,DIRECT,1418.67,276483,2025-08-19 21:31:49,202302
202412,20241206,35857,3204,853,DIRECT,499.88,211865,2025-07-29 11:34:28,202412
202410,20241004,42330,5463,327,DISTRIBUTOR,275.25,413195,2024-09-11 18:22:12,202410
202403,20240302,91241,2529,646,INDIRECT,851.44,297238,2024-12-09 04:20:24,202403
202306,20230607,56434,7452,846,INDIRECT,4373.83,120175,2023-02-13 16:15:29,202306
202311,20231114,51275,3164,781,INDIRECT,3593.85,356049,2023-05-29 19:19:40,202311
202404,20240416,46375,2704,202,DISTRIBUTOR,1441.33,128646,2025-06-04 14:22:27,202404
202305,20230524,68004,6756,879,DIRECT,3093.30,381929,2025-04-11 01:46:02,202305
202404,20240407,65479,4053,851,INDIRECT,2461.70,272711,2023-05-22 11:05:42,202404
202408,20240826,38743,8360,353,INDIRECT,4256.53,19872,2023-08-09 01:36:12,202408
202306,20230607,90175,4896,969,DIRECT,4899.60,408062,2024-10-14 21:45:36,202306
202402,20240215,54044,3356,985,DIRECT,1638.53,231718,2024-07-20 13:31:39,202402
202407,20240725,99291,8862,651,INDIRECT,4531.92,467398,2023-01-15 02:31:20,202407
202305,20230507,59869,2977,120,INDIRECT,913.24,10565,2025-04-13 08:18:58,202305
202312,20231217,97321,8070,638,INDIRECT,1941.23,319554,2024-09-17 16:38:40,202312
202308,20230809,14664,8916,164,INDIRECT,3684.02,213597,2024-03-19 09:46:17,202308
202301,20230109,61197,2192,827,DIRECT,1052.70,455636,2024-04-26 16:02:03,202301
202403,20240328,21612,7932,890,INDIRECT,1610.61,439447,2025-09-06 01:24:52,202403
202306,20230616,30705,4987,583,DISTRIBUTOR,4494.36,274454,2025-07-22 05:06:47,202306
202304,20230418,38952,6923,355,DISTRIBUTOR,2061.62,234984,2023-08-28 08:43:34,202304
202305,20230523,80765,7117,646,DISTRIBUTOR,1613.07,307212,2025-09-17 18:22:03,202305
202306,20230609,33383,6606,160,INDIRECT,1996.10,293325,2023-08-21 05:55:08,202306
202409,20240918,69009,7127,908,DISTRIBUTOR,342.54,226348,2024-01-16 03:15:55,202409
202403,20240316,25265,3030,152,INDIRECT,4689.27,48648,2025-10-19 05:52:26,202403
202405,20240520,32861,9305,578,DISTRIBUTOR,2945.62,276984,2024-01-15 11:15:23,202405
202309,20230907,72232,2413,747,DISTRIBUTOR,4100.51,137034,2025-07-19 11:41:24,202309
202403,20240319,21088,9238,580,DISTRIBUTOR,1404.90,205885,2023-12-08 19:32:54,202403
202412,20241216,40003,2269,765,INDIRECT,1596.01,453803,2024-10-17 03:20:50,202412
202308,20230817,42627,6626,691,DIRECT,3042.25,448184,2023-05-25 13:01:24,202308
202411,20241116,59092,2440,736,DIRECT,2188.62,398061,2024-04-24 14:39:58,202411
202306,20230617,83042,6125,499,INDIRECT,4815.87,174356,2023-12-24 07:37:03,202306
202405,20240525,60993,7823,391,DIRECT,2171.26,132587,2025-07-30 20:13:30,202405
202308,20230825,87794,6789,319,INDIRECT,1047.40,108516,2023-01-12 17:57:48,202308
202310,20231006,94006,3132,871,DISTRIBUTOR,1665.22,33498,2023-02-15 02:19:30,202310
202308,20230821,15335,1677,890,DISTRIBUTOR,2686.86,467068,2024-03-02 01:26:13,202308
202410,20241003,36481,4090,472,DIRECT,3570.82,96451,2025-01-06 03:40:45,202410
202404,20240404,91503,8906,546,DIRECT,2222.90,13405,2025-06-13 03:17:17,202404
202412,20241216,93651,6388,312,DIRECT,3267.70,14235,2025-09-23 02:27:06,202412
202404,20240421,31004,8414,835,INDIRECT,1866.94,379040,2024-04-07 20:32:56,202404
202305,20230510,82564,7556,636,DISTRIBUTOR,1864.99,318535,2023-12-24 07:03:16,202305
202304,20230426,49887,5670,318,DIRECT,1816.29,219894,2025-08-31 07:19:56,202304
202312,20231219,94002,3143,811,DISTRIBUTOR,3894.76,460286,2023-05-09 08:06:47,202312
202409,20240907,59636,2393,300,DIRECT,4157.30,75477,2024-10-25 19:07:01,202409
202411,20241115,29024,7082,208,DIRECT,1992.89,122509,2023-02-01 20:59:07,202411
202408,20240803,85105,7317,167,INDIRECT,4850.68,60800,2023-09-19 08:13:26,202408
202412,20241210,83117,1385,700,DISTRIBUTOR,4941.25,430725,2024-03-15 14:05:05,202412
202303,20230308,78265,9395,305,INDIRECT,1133.98,213017,2023-05-31 00:10:34,202303
202406,20240618,77291,5775,202,DISTRIBUTOR,1413.62,163138,2024-11-23 15:16:45,202406
202306,20230614,86641,1004,808,DIRECT,3436.36,451197,2025-05-08 07:39:05,202306
202410,20241024,93269,7946,473,INDIRECT,713.15,391780,2023-11-09 01:31:34,202410
202406,20240623,56191,8868,933,DISTRIBUTOR,1818.16,253351,2025-08-03 17:12:46,202406
202402,20240215,76017,8931,595,DIRECT,4514.99,41842,2025-03-02 02:15:34,202402
202308,20230802,48481,1405,910,DISTRIBUTOR,3204.89,39663,2023-07-09 23:02:46,202308
202408,20240805,89532,4298,407,INDIRECT,4130.03,22422,2024-10-26 10:20:10,202408
202310,20231028,89897,5852,986,INDIRECT,2752.51,183473,2024-01-30 09:35:19,202310
202403,20240324,68052,8622,628,DIRECT,2686.12,487836,2024-07-08 18:46:49,202403
202402,20240228,36303,5443,656,INDIRECT,3364.04,310193,2024-12-28 07:12:24,202402
202404,20240419,29167,1389,791,DIRECT,4917.98,54193,2024-02-18 19:17:09,202404
202312,20231202,55749,8407,920,DISTRIBUTOR,2849.90,18745,2023-01-04 08:56:38,202312
202307,20230715,60803,5639,913,DIRECT,2933.72,34076,2023-03-18 11:36:07,202307
202310,20231013,95513,2163,287,DIRECT,3029.24,36753,2025-04-25 13:19:17,202310
202409,20240923,23415,8283,457,DIRECT,273.24,336040,2023-09-16 05:58:40,202409
202301,20230109,86798,7450,948,DIRECT,1699.14,172358,2025-11-06 07:11:00,202301
202302,20230208,98923,9135,956,DIRECT,1725.49,319466,2025-10-04 19:12:10,202302
202407,20240723,40844,7402,757,DIRECT,3597.70,95995,2024-11-03 17:30:07,202407
202311,20231118,54711,3343,863,DIRECT,379.37,13768,2024-04-13 23:46:21,202311
202407,20240726,88680,4561,815,DIRECT,2863.49,184693,2024-06-15 05:59:30,202407
202402,20240215,11138,7051,862,DIRECT,1735.59,239233,2025-03-28 14:00:29,202402
202403,20240318,18255,2898,368,INDIRECT,4375.32,70158,2023-12-26 08:46:51,202403
202401,20240115,22929,6936,305,DISTRIBUTOR,1868.32,53148,2024-05-25 05:59:33,202401
202405,20240501,45783,5981,877,DIRECT,3854.03,333681,2025-07-20 07:00:43,202405
