customer_nk,FAMILY,order_nk,order_datetime,order_rating,is_first_order,is_first_order_football,is_first_order_warmup,is_first_order_football_2024,is_first_order_bbq,coupon_code,product_nk,item_name,category_source,unit_volume_hl,unit_quantity,item_unit_value,line_item_offer_discount_value,item_ttc_descontado,item_ttc_cheio,item_subtotal_value,item_coupon_discount_value,poc_id,delivery_city,delivery_state,delivery_uf,geo,cnpj,order_cashback_value,order_shipping_value,order_subtotal_value,order_total_value,order_coupon_discount_value,order_longitude,order_latitude,delivery_datetime,delivery_time_in_minutes,unit_price_charged_tax_excl_local,unit_price_offered_tax_excl_local,unit_subtotal_charged_tax_excl_local,unit_subtotal_offered_tax_excl_local,source,is_fmr,is_fmr_football,is_fmr_football_2024,is_fmr_bbq,is_barbecue,is_football,is_football_2024,is_warm_up,is_full_potential,abi_product,is_sampling,PRODUCT_ID,SUBSOURCE_NAME,UUID,PROD_MATCH_RATIO,PRODUCT_DESCRIPTION,BRAND_ID,VARIANT,COMPANY,CATEGORY,PACKAGE,KIT_TYPE,RETURNABLE,VOLUME,PACK_QUANTITY,PGV_CODE,PGV_DESCRIPTION,MULTIPACK_PRODUCTS,BASKET,BASKET_CLUSTER,CLUSTER_AS,FUTURE_BEVS,INOVACAO,unit_subtotal_volume_hl,unit_volume_l,unit_subtotal_volume_l,lover_cluster,id_moment,id_purchase
CUST000356,FizzCola,535401,2023-11-21 03:01:13,2.2,Yes,No,Yes,Yes,,,PROD4630,FizzCola Pack,DTC,0.435,19,5.76,4.45,101.47,109.44,109.44,7.97,POC743,Hilltown,OH,TX,Central,31261301339930,0.91,14.83,109.44,116.30,7.97,-120.5191,43.1799,2023-11-22 23:45:19,47,5.76,6.34,109.44,120.38,Web,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,6650,Online,27577757-9317,1.00,PopMax 12-Pack,BRD4,Regular,BevCo,Soft Drink,Can,Standard,No,1.8,18,PGV231,Premium Pack,No,Standard,Core,A,No,No,0.104,3.46,1.76,New,28,225
CUST000429,RefreshPlus,392630,2023-12-07 03:17:24,4.5,No,Yes,Yes,No,,COUP1,PROD4416,SparkleUp Pack,DTC,0.120,20,9.58,4.98,180.53,191.60,191.60,11.07,POC314,Hilltown,NY,FL,East,22548135966442,3.11,11.36,191.60,191.89,11.07,-105.9569,39.9758,2023-12-07 08:19:38,89,9.58,10.54,191.60,210.76,Web,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,3926,Online,97475115-1123,0.93,FizzCola 12-Pack,BRD3,Regular,BevCo,Soft Drink,Can,Standard,No,1.8,6,PGV583,Premium Pack,No,Standard,Core,A,No,No,0.072,4.73,0.67,Loyal,51,272
CUST000305,PopMax,642805,2024-12-21 22:49:05,3.8,No,Yes,No,Yes,1,COUP25,PROD8569,BubbleWave Pack,DTC,0.107,10,20.58,3.55,173.01,205.80,205.80,32.79,POC167,Lakeside,FL,FL,North,16562876312780,2.19,9.12,205.80,182.13,32.79,-117.8731,39.1926,2024-12-23 12:03:58,114,20.58,22.64,205.80,226.38,Web,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4255,Online,72349738-7455,0.90,SparkleUp 12-Pack,BRD3,Regular,BevCo,Soft Drink,Can,Standard,No,0.8,21,PGV708,Premium Pack,No,Standard,Core,A,No,No,0.169,3.27,3.60,Occasional,14,394
CUST000097,BubbleWave,903826,2024-12-16 12:59:17,3.1,Yes,No,No,No,,COUP46,PROD4457,PopMax Pack,DTC,0.350,10,8.76,2.24,73.16,87.60,87.60,14.44,POC447,Lakeside,OH,FL,South,94482695172456,4.44,6.30,87.60,79.46,14.44,-112.2146,40.0538,2024-12-18 05:46:12,103,8.76,9.64,87.60,96.36,Web,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,7280,Online,25649827-4229,0.84,BubbleWave 12-Pack,BRD3,Regular,BevCo,Soft Drink,Can,Standard,No,1.5,9,PGV176,Premium Pack,No,Standard,Core,A,No,No,0.255,0.10,16.07,Loyal,68,20
CUST000121,PopMax,488015,2024-07-18 16:47:22,4.2,Yes,Yes,Yes,No,0,COUP125,PROD8137,ZestDrink Pack,DTC,0.195,9,9.13,3.24,80.37,82.17,82.17,1.80,POC437,Georgetown,IL,NY,East,50453125728997,0.20,9.32,82.17,89.69,1.80,-87.0602,41.5294,2024-07-19 20:03:50,127,9.13,10.04,82.17,90.39,Web,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,7395,Online,59347524-8080,0.96,RefreshPlus 12-Pack,BRD1,Regular,BevCo,Soft Drink,Can,Standard,No,1.1,8,PGV758,Premium Pack,No,Standard,Core,A,No,No,0.370,0.53,14.54,Occasional,68,409
CUST000417,BubbleWave,814829,2024-01-27 05:53:42,1.2,No,No,Yes,No,1,,PROD8896,PopMax Pack,DTC,0.040,8,14.89,3.62,108.62,119.12,119.12,10.50,POC940,Hilltown,CA,OH,North,90596465834998,1.32,12.96,119.12,121.58,10.50,-112.3719,29.8957,2024-01-29 02:19:23,87,14.89,16.38,119.12,131.03,Web,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,4114,Online,60519477-9682,0.87,BubbleWave 12-Pack,BRD7,Regular,BevCo,Soft Drink,Can,Standard,No,0.6,21,PGV232,Premium Pack,No,Standard,Core,A,No,No,0.015,4.25,15.94,Occasional,11,239
CUST000368,PopMax,994858,2024-09-30 14:09:53,4.6,No,No,Yes,Yes,,COUP195,PROD1821,BubbleWave Pack,DTC,0.136,15,12.49,3.90,173.46,187.35,187.35,13.89,POC294,Riverside,IL,TX,South,18388624983603,0.59,6.63,187.35,180.09,13.89,-104.3934,25.4243,2024-10-02 06:45:08,54,12.49,13.74,187.35,206.09,Web,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,5141,Online,55733538-1450,0.97,RefreshPlus 12-Pack,BRD5,Regular,BevCo,Soft Drink,Can,Standard,No,0.9,22,PGV442,Premium Pack,No,Standard,Core,A,No,No,0.072,4.41,3.05,Occasional,3,329
CUST000435,BubbleWave,242835,2024-07-26 16:02:15,1.5,No,Yes,Yes,No,,COUP111,PROD6310,RefreshPlus Pack,DTC,0.062,7,6.79,2.34,39.70,47.53,47.53,7.83,POC394,Hilltown,TX,FL,Central,84091254192212,1.10,12.24,47.53,51.94,7.83,-102.5879,46.0024,2024-07-28 12:24:14,98,6.79,7.47,47.53,52.28,Web,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,5405,Online,83440111-2666,0.88,PopMax 12-Pack,BRD7,Regular,BevCo,Soft Drink,Can,Standard,No,2.0,18,PGV252,Premium Pack,No,Standard,Core,A,No,No,0.449,3.49,19.02,Occasional,94,407
CUST000440,FizzCola,477086,2024-05-18 08:23:37,2.4,Yes,Yes,Yes,No,1,,PROD9487,SparkleUp Pack,DTC,0.132,13,9.45,4.46,105.85,122.85,122.85,17.00,POC398,Riverside,PA,CA,Central,20346501235532,2.54,6.11,122.85,111.96,17.00,-111.8304,45.9874,2024-05-18 10:34:59,118,9.45,10.39,122.85,135.13,Web,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,2799,Online,17574292-6955,0.98,RefreshPlus 12-Pack,BRD5,Regular,BevCo,Soft Drink,Can,Standard,No,1.7,18,PGV835,Premium Pack,No,Standard,Core,A,No,No,0.210,0.14,12.65,Regular,75,156
CUST000136,CrispSoda,703553,2024-03-12 09:10:15,2.6,Yes,Yes,Yes,No,,COUP121,PROD7238,CrispSoda Pack,DTC,0.464,5,18.10,1.78,85.16,90.50,90.50,5.34,POC535,Meadowbrook,TX,CA,Central,20749915609808,2.45,5.12,90.50,90.28,5.34,-71.9171,40.1587,2024-03-13 08:50:37,59,18.10,19.91,90.50,99.55,Web,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,7691,Online,46822575-3275,0.82,PopMax 12-Pack,BRD6,Regular,BevCo,Soft Drink,Can,Standard,No,1.3,8,PGV222,Premium Pack,No,Standard,Core,A,No,No,0.056,1.37,11.61,Occasional,57,67
CUST000017,SparkleUp,566281,2023-10-19 14:17:00,1.6,Yes,No,No,Yes,,COUP4,PROD1274,FizzCola Pack,DTC,0.049,16,15.86,1.58,241.37,253.76,253.76,12.39,POC205,Georgetown,IL,OH,Central,33183881453537,0.73,12.25,253.76,253.62,12.39,-93.6064,29.3333,2023-10-19 17:42:50,80,15.86,17.45,253.76,279.14,Web,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,3683,Online,37798900-8354,0.91,SparkleUp 12-Pack,BRD5,Regular,BevCo,Soft Drink,Can,Standard,No,1.5,8,PGV822,Premium Pack,No,Standard,Core,A,No,No,0.062,4.81,2.26,Regular,71,38
CUST000309,RefreshPlus,157899,2024-08-02 00:48:39,4.5,No,Yes,No,No,0,,PROD4292,SparkleUp Pack,DTC,0.358,20,22.68,0.45,379.56,453.60,453.60,74.04,POC863,Springfield,TX,IL,North,31651869331241,4.17,7.43,453.60,386.99,74.04,-73.0747,34.2605,2024-08-02 13:33:40,40,22.68,24.95,453.60,498.96,Web,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,2277,Online,99032539-2051,0.80,BubbleWave 12-Pack,BRD4,Regular,BevCo,Soft Drink,Can,Standard,No,1.4,23,PGV666,Premium Pack,No,Standard,Core,A,No,No,0.433,3.59,7.67,New,64,137
CUST000160,FizzCola,765683,2023-06-22 10:15:54,1.0,Yes,No,No,No,0,,PROD3425,FizzCola Pack,DTC,0.174,9,20.30,0.61,176.39,182.70,182.70,6.31,POC840,Riverside,PA,NY,North,46384883880082,2.44,7.13,182.70,183.52,6.31,-96.4367,37.3114,2023-06-22 20:45:07,178,20.30,22.33,182.70,200.97,Web,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,6722,Online,79576958-7193,0.80,FizzCola 12-Pack,BRD7,Regular,BevCo,Soft Drink,Can,Standard,No,1.0,6,PGV944,Premium Pack,No,Standard,Core,A,No,No,0.129,4.16,19.89,Loyal,50,129
CUST000324,RefreshPlus,138041,2023-03-22 04:49:03,4.2,No,Yes,No,No,1,COUP157,PROD1335,RefreshPlus Pack,DTC,0.266,8,7.93,1.36,60.04,63.44,63.44,3.40,POC731,Hilltown,IL,NY,North,70628790166335,2.76,13.20,63.44,73.24,3.40,-121.2505,40.5409,2023-03-23 08:13:14,97,7.93,8.72,63.44,69.78,Web,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,8696,Online,78693311-3702,0.84,SparkleUp 12-Pack,BRD7,Regular,BevCo,Soft Drink,Can,Standard,No,0.3,15,PGV608,Premium Pack,No,Standard,Core,A,No,No,0.461,0.20,11.01,Loyal,46,488
CUST000139,RefreshPlus,525396,2023-09-06 21:12:28,4.5,Yes,Yes,No,No,,,PROD3972,ZestDrink Pack,DTC,0.019,1,13.21,4.79,12.77,13.21,13.21,0.44,POC357,Meadowbrook,FL,OH,East,78704920288160,3.99,5.39,13.21,18.16,0.44,-97.8925,35.5652,2023-09-07 08:53:52,138,13.21,14.53,13.21,14.53,Web,No,Yes,No,No,No,No,No,No,No,Yes,Yes,5858,Online,89555745-8736,0.88,FizzCola 12-Pack,BRD1,Regular,BevCo,Soft Drink,Can,Standard,No,1.2,23,PGV653,Premium Pack,No,Standard,Core,A,No,No,0.227,0.81,7.30,Loyal,14,141
CUST000414,ZestDrink,557936,2023-07-25 22:56:05,3.7,No,No,No,No,,,PROD4180,SparkleUp Pack,DTC,0.266,7,5.63,2.69,36.66,39.41,39.41,2.75,POC759,Springfield,TX,OH,West,21901039208756,0.28,11.94,39.41,48.60,2.75,-107.9006,28.5850,2023-07-27 17:18:02,68,5.63,6.19,39.41,43.35,Web,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,7544,Online,44596909-1334,0.82,PopMax 12-Pack,BRD6,Regular,BevCo,Soft Drink,Can,Standard,No,1.0,22,PGV889,Premium Pack,No,Standard,Core,A,No,No,0.325,2.71,16.31,Occasional,6,489
CUST000237,ZestDrink,588743,2024-02-27 11:31:32,4.1,No,Yes,No,Yes,,,PROD2308,RefreshPlus Pack,DTC,0.045,10,15.71,2.02,132.55,157.10,157.10,24.55,POC467,Hilltown,CA,NY,Central,38611243719477,1.61,7.61,157.10,140.16,24.55,-102.2363,27.2130,2024-02-27 15:34:59,83,15.71,17.28,157.10,172.81,Web,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,7445,Online,46650574-8276,0.89,BubbleWave 12-Pack,BRD7,Regular,BevCo,Soft Drink,Can,Standard,No,0.7,9,PGV913,Premium Pack,No,Standard,Core,A,No,No,0.136,3.89,14.52,Occasional,83,417
CUST000339,SparkleUp,206100,2024-01-18 04:28:05,1.5,Yes,Yes,No,No,,,PROD6619,CrispSoda Pack,DTC,0.077,15,19.64,1.89,247.32,294.60,294.60,47.28,POC323,Hilltown,TX,NY,North,64207229604680,3.04,9.14,294.60,256.46,47.28,-102.7829,46.3998,2024-01-19 05:28:08,49,19.64,21.60,294.60,324.06,Web,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2966,Online,99292061-9819,1.00,BubbleWave 12-Pack,BRD7,Regular,BevCo,Soft Drink,Can,Standard,No,0.8,20,PGV671,Premium Pack,No,Standard,Core,A,No,No,0.273,2.78,16.68,Loyal,69,224
CUST000084,CrispSoda,566622,2024-08-10 19:46:49,4.0,Yes,Yes,No,Yes,,COUP193,PROD4846,RefreshPlus Pack,DTC,0.306,18,11.28,1.62,171.35,203.04,203.04,31.69,POC751,Lakeside,IL,OH,West,54280099544367,0.34,14.49,203.04,185.84,31.69,-75.0624,34.3691,2024-08-12 01:58:19,178,11.28,12.41,203.04,223.34,Web,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,7043,Online,72736083-2750,0.97,RefreshPlus 12-Pack,BRD7,Regular,BevCo,Soft Drink,Can,Standard,No,0.6,18,PGV115,Premium Pack,No,Standard,Core,A,No,No,0.289,4.26,4.73,Regular,32,213
CUST000089,CrispSoda,513590,2024-12-06 03:29:00,1.3,Yes,No,No,Yes,1,COUP93,PROD3569,PopMax Pack,DTC,0.097,3,14.90,2.19,38.72,44.70,44.70,5.98,POC719,Meadowbrook,NY,OH,Central,69099833387289,0.83,9.99,44.70,48.71,5.98,-117.0116,36.7839,2024-12-06 15:47:32,161,14.90,16.39,44.70,49.17,Web,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,2388,Online,28777463-9740,0.92,CrispSoda 12-Pack,BRD5,Regular,BevCo,Soft Drink,Can,Standard,No,0.3,11,PGV713,Premium Pack,No,Standard,Core,A,No,No,0.246,3.67,7.04,Loyal,12,354
CUST000158,FizzCola,558838,2023-06-24 07:54:42,2.3,No,No,No,No,,COUP126,PROD1058,PopMax Pack,DTC,0.119,11,23.18,4.20,205.41,254.98,254.98,49.57,POC901,Meadowbrook,NY,IL,Central,86979856658855,1.38,10.38,254.98,215.79,49.57,-106.8571,32.4935,2023-06-25 07:12:35,119,23.18,25.50,254.98,280.48,Web,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,2820,Online,93659022-7056,0.83,RefreshPlus 12-Pack,BRD7,Regular,BevCo,Soft Drink,Can,Standard,No,0.4,20,PGV278,Premium Pack,No,Standard,Core,A,No,No,0.373,4.92,19.84,Loyal,67,225
CUST000175,CrispSoda,724842,2023-06-07 01:07:29,4.7,Yes,No,Yes,No,,COUP147,PROD2108,BubbleWave Pack,DTC,0.142,1,20.65,2.48,16.83,20.65,20.65,3.82,POC375,Riverside,NY,FL,North,50195091890530,2.47,10.07,20.65,26.90,3.82,-83.5518,25.7886,2023-06-07 15:16:05,50,20.65,22.71,20.65,22.71,Web,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,6543,Online,22225779-7478,0.89,BubbleWave 12-Pack,BRD1,Regular,BevCo,Soft Drink,Can,Standard,No,1.2,7,PGV153,Premium Pack,No,Standard,Core,A,No,No,0.173,2.07,10.04,Loyal,64,264
CUST000111,CrispSoda,906569,2023-06-29 06:47:42,2.7,Yes,No,Yes,Yes,0,COUP50,PROD9850,SparkleUp Pack,DTC,0.126,18,8.89,3.91,151.37,160.02,160.02,8.65,POC728,Riverside,PA,PA,West,13673768882232,4.26,10.31,160.02,161.68,8.65,-74.9301,32.4970,2023-06-30 23:18:59,37,8.89,9.78,160.02,176.02,Web,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,1449,Online,92230425-6737,0.86,SparkleUp 12-Pack,BRD3,Regular,BevCo,Soft Drink,Can,Standard,No,0.5,12,PGV410,Premium Pack,No,Standard,Core,A,No,No,0.464,3.40,3.15,Occasional,19,433
CUST000066,CrispSoda,848386,2023-02-24 00:10:36,2.5,No,No,No,No,,COUP74,PROD6651,CrispSoda Pack,DTC,0.045,1,18.91,4.53,18.38,18.91,18.91,0.53,POC670,Georgetown,IL,IL,North,84295894748528,0.65,13.55,18.91,31.93,0.53,-80.9452,36.0329,2023-02-24 23:29:05,155,18.91,20.80,18.91,20.80,Web,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,6906,Online,88451034-1271,0.99,BubbleWave 12-Pack,BRD5,Regular,BevCo,Soft Drink,Can,Standard,No,1.6,12,PGV882,Premium Pack,No,Standard,Core,A,No,No,0.068,2.48,9.10,Loyal,36,217
CUST000036,SparkleUp,350975,2024-01-30 22:38:51,2.8,No,No,Yes,No,,COUP96,PROD8066,CrispSoda Pack,DTC,0.132,4,16.90,2.23,61.53,67.60,67.60,6.07,POC154,Georgetown,IL,IL,North,96537883443154,4.80,11.39,67.60,72.92,6.07,-81.5943,41.9286,2024-02-01 09:19:54,67,16.90,18.59,67.60,74.36,Web,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,7498,Online,27444788-7744,0.85,PopMax 12-Pack,BRD2,Regular,BevCo,Soft Drink,Can,Standard,No,0.8,21,PGV894,Premium Pack,No,Standard,Core,A,No,No,0.024,4.53,2.42,Occasional,88,268
CUST000448,BubbleWave,481950,2023-10-03 06:15:27,1.0,No,Yes,Yes,No,0,,PROD1865,SparkleUp Pack,DTC,0.232,1,7.35,0.57,6.45,7.35,7.35,0.90,POC619,Meadowbrook,NY,TX,West,59795993991932,4.27,13.67,7.35,20.12,0.90,-102.9469,47.9052,2023-10-03 19:43:45,92,7.35,8.09,7.35,8.09,Web,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,4284,Online,10132107-7092,0.84,SparkleUp 12-Pack,BRD3,Regular,BevCo,Soft Drink,Can,Standard,No,0.9,23,PGV209,Premium Pack,No,Standard,Core,A,No,No,0.134,1.35,3.94,Loyal,12,318
CUST000242,CrispSoda,482674,2024-05-25 06:45:07,2.0,No,No,Yes,No,0,,PROD1326,RefreshPlus Pack,DTC,0.363,13,17.38,1.89,202.09,225.94,225.94,23.85,POC499,Riverside,PA,IL,South,29862955481933,0.58,12.79,225.94,214.88,23.85,-72.4878,27.3870,2024-05-26 14:58:09,95,17.38,19.12,225.94,248.53,Web,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,4936,Online,48220822-4690,0.98,RefreshPlus 12-Pack,BRD5,Regular,BevCo,Soft Drink,Can,Standard,No,0.4,15,PGV114,Premium Pack,No,Standard,Core,A,No,No,0.185,1.79,9.08,New,22,385
